vehicle_number,violation_count,unique_zones,vehicle_type,last_seen,top_zone
FKN00GL28941,7,2,SCOOTER,2024-03-05 05:51:46,BTP061 - Bhashyam Circle
FKN00GL129258,7,1,PASSENGER AUTO,2024-01-08 07:56:46,BTP048 - Shanthala Junction
FKN00GL128580,7,1,SCOOTER,2023-12-12 08:11:46,BTP051 - Safina Plaza Junction
FKN00GL27678,7,1,SCOOTER,2024-02-07 09:36:46,BTP020 - Hosahalli Metro Station
FKN00GL60648,7,1,CAR,2024-02-25 03:25:46,GRID_13.03_77.58
FKN00GL63600,7,1,MOTOR CYCLE,2024-03-06 11:56:46,GRID_12.98_77.61
FKN00GL63405,7,2,LGV,2024-03-05 11:15:46,GRID_13.03_77.59
FKN00GL6283,7,1,CAR,2024-04-02 03:42:46,BTP132 - Anepalya Junction
FKN00GL62978,7,1,CAR,2024-03-02 07:55:46,BTP051 - Safina Plaza Junction
FKN00GL61477,7,3,TEMPO,2024-04-06 05:50:46,BTP057 - Anand Rao Junction
FKN00GL15274,7,2,CAR,2024-02-23 06:42:46,BTP044 - Sagar Theatre Junction
FKN00GL27726,7,2,SCOOTER,2024-02-07 10:25:46,BTP040 - Elite Junction
FKN00GL27772,7,1,PASSENGER AUTO,2024-03-27 12:39:46,BTP051 - Safina Plaza Junction
FKN00GL27775,7,1,MOTOR CYCLE,2024-03-04 05:15:46,BTP068 - Veeresh Theatre Junction
FKN00GL27498,7,2,SCOOTER,2024-02-07 03:06:46,BTP032 - Windsor Circle
FKN00GL25155,7,1,SCOOTER,2024-03-14 08:50:46,BTP040 - Elite Junction
FKN00GL25227,7,2,SCOOTER,2024-04-07 06:13:46,GRID_12.98_77.61
FKN00GL2529,7,1,SCOOTER,2023-12-01 11:10:46,BTP044 - Sagar Theatre Junction
FKN00GL28228,7,2,SCOOTER,2024-03-23 10:54:46,BTP023 - Mahalaxmi Layout Entrance
FKN00GL6552,7,1,SCOOTER,2024-04-06 10:19:46,BTP023 - Mahalaxmi Layout Entrance
FKN00GL6471,7,2,CAR,2024-04-02 09:00:46,BTP044 - Sagar Theatre Junction
FKN00GL8028,7,2,CAR,2024-03-14 11:28:46,"BTP016 - 5th Main Road, RPC Layout"
FKN00GL8042,7,1,SCOOTER,2024-04-08 12:12:46,GRID_12.98_77.61
FKN00GL15275,7,1,SCOOTER,2024-04-03 06:55:46,BTP040 - Elite Junction
FKN00GL129954,7,1,SCOOTER,2024-01-27 05:36:46,BTP040 - Elite Junction
FKN00GL15216,7,2,SCOOTER,2024-01-23 07:33:46,BTP032 - Windsor Circle
FKN00GL152658,7,2,SCOOTER,2024-01-18 02:35:46,BTP032 - Windsor Circle
FKN00GL15209,7,2,SCOOTER,2024-03-24 11:55:46,BTP032 - Windsor Circle
FKN00GL13025,7,1,MOTOR CYCLE,2024-03-03 02:18:46,GRID_13.01_77.57
FKN00GL80129,7,5,CAR,2024-03-27 09:17:46,BTP032 - Windsor Circle
FKN00GL80198,7,1,SCOOTER,2024-03-07 04:58:46,"BTP189 - New Diagonal Road, Jayanagar"
FKN00GL6425,7,1,CAR,2024-03-30 01:32:46,"BTP123 - 10th Cross, Wilson Garden"
FKN00GL2698,7,1,SCOOTER,2024-03-29 03:43:46,BTP020 - Hosahalli Metro Station
FKN00GL0673,7,5,GOODS AUTO,2024-03-15 05:07:46,GRID_12.97_77.57
FKN00GL118168,7,1,CAR,2023-12-30 04:00:46,GRID_13.02_77.53
FKN00GL68434,7,2,CAR,2024-03-09 12:38:46,GRID_13.18_77.68
FKN00GL0308,7,1,SCOOTER,2024-04-07 08:27:46,BTP044 - Sagar Theatre Junction
FKN00GL9683,7,1,SCOOTER,2024-03-09 03:06:46,BTP082 - KR Market Junction
FKN00GL0347,7,2,PASSENGER AUTO,2024-03-28 00:59:46,GRID_13.01_77.69
FKN00GL143086,7,2,MAXI-CAB,2024-02-17 04:02:46,GRID_12.89_77.64
FKN00GL1455,7,1,SCOOTER,2024-03-15 10:03:46,GRID_13.0_77.56
FKN00GL25922,7,1,CAR,2024-04-08 03:27:46,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road"
FKN00GL25936,7,1,SCOOTER,2024-03-02 04:56:46,GRID_12.93_77.69
FKN00GL25956,7,1,MOTOR CYCLE,2024-04-04 03:11:46,GRID_13.03_77.57
FKN00GL2716,7,1,SCOOTER,2024-02-23 06:47:46,GRID_12.93_77.69
FKN00GL26744,7,2,CAR,2024-02-14 09:53:46,GRID_12.96_77.54
FKN00GL13423,7,1,SCOOTER,2024-02-24 06:02:46,GRID_12.93_77.69
FKN00GL13270,7,2,SCOOTER,2024-02-09 04:01:46,GRID_12.93_77.54
FKN00GL13288,7,1,MOTOR CYCLE,2024-02-24 10:30:46,BTP082 - KR Market Junction
FKN00GL79410,7,1,MOTOR CYCLE,2024-03-13 04:55:46,GRID_12.93_77.69
FKN00GL79291,7,1,MOTOR CYCLE,2024-03-08 02:25:46,GRID_12.93_77.69
FKN00GL3909,7,2,CAR,2024-02-27 03:11:46,GRID_13.03_77.62
FKN00GL3892,7,3,SCOOTER,2024-03-24 14:06:46,BTP027 - Modi Bridge Junction
FKN00GL11305,7,2,MOTOR CYCLE,2024-03-26 08:06:46,GRID_12.94_77.7
FKN00GL38797,7,1,SCOOTER,2024-03-22 09:22:46,GRID_13.0_77.67
FKN00GL3839,7,1,SCOOTER,2024-02-08 03:13:46,GRID_13.05_77.53
FKN00GL38408,7,1,MOTOR CYCLE,2024-04-04 05:54:46,GRID_12.97_77.62
FKN00GL38213,7,1,CAR,2024-03-14 02:55:46,GRID_12.95_77.7
FKN00GL38139,7,2,MOTOR CYCLE,2024-03-31 09:04:46,GRID_13.0_77.58
FKN00GL3787,7,2,SCOOTER,2024-04-07 10:07:46,BTP058 - Subbanna Junction
FKN00GL13758,7,1,SCOOTER,2024-01-31 06:25:46,BTP082 - KR Market Junction
FKN00GL13688,7,1,SCOOTER,2024-03-13 08:13:46,BTP044 - Sagar Theatre Junction
FKN00GL0396,7,1,MOPED,2024-03-26 03:42:46,BTP027 - Modi Bridge Junction
FKN00GL0201,7,2,MOTOR CYCLE,2024-02-09 02:50:46,BTP032 - Windsor Circle
FKN00GL0267,7,3,SCOOTER,2023-12-08 09:15:46,BTP032 - Windsor Circle
FKN00GL14237,7,1,MOTOR CYCLE,2024-03-06 11:23:46,GRID_12.93_77.69
FKN00GL9929,7,1,SCOOTER,2024-03-12 09:08:46,BTP020 - Hosahalli Metro Station
FKN00GL9996,6,1,SCOOTER,2024-01-30 04:06:46,BTP032 - Windsor Circle
FKN00GL9808,6,3,PASSENGER AUTO,2024-03-03 07:03:46,GRID_13.02_77.58
FKN00GL9675,6,1,SCOOTER,2024-03-22 04:41:46,GRID_13.04_77.59
FKN00GL13486,6,2,LGV,2024-04-06 06:40:46,BTP040 - Elite Junction
FKN00GL69940,6,1,SCOOTER,2024-03-04 10:44:46,BTP044 - Sagar Theatre Junction
FKN00GL69722,6,1,CAR,2024-04-07 14:39:46,BTP205 - Modi Hospital Junction
FKN00GL70556,6,2,PASSENGER AUTO,2024-04-07 09:49:46,BTP051 - Safina Plaza Junction
FKN00GL14517,6,1,MOTOR CYCLE,2024-01-25 05:06:46,"BTP101 - Blood Bank Circle, KH Road"
FKN00GL13269,6,1,SCOOTER,2024-02-23 02:41:46,GRID_12.93_77.54
FKN00GL131506,6,1,SCOOTER,2024-01-14 08:07:46,BTP044 - Sagar Theatre Junction
FKN00GL14679,6,1,SCOOTER,2024-03-31 08:08:46,GRID_13.05_77.59
FKN00GL146563,6,1,SCOOTER,2024-01-30 04:37:46,BTP032 - Windsor Circle
FKN00GL66576,6,1,SCOOTER,2024-03-13 03:54:46,BTP172 - Nanjappa Circle
FKN00GL67501,6,1,SCOOTER,2024-03-21 02:33:46,GRID_12.96_77.55
FKN00GL6759,6,3,PASSENGER AUTO,2024-04-03 07:01:46,BTP045 - Danvanthri Road Junction
FKN00GL67857,6,2,PASSENGER AUTO,2024-04-07 03:39:46,BTP057 - Anand Rao Junction
FKN00GL68219,6,2,SCOOTER,2024-01-23 12:01:46,BTP172 - Nanjappa Circle
FKN00GL68183,6,1,SCOOTER,2024-02-29 04:13:46,GRID_12.93_77.69
FKN00GL68113,6,1,CAR,2024-03-27 04:29:46,GRID_12.93_77.69
FKN00GL68108,6,1,SCOOTER,2024-03-27 09:52:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL11797,6,2,SCOOTER,2024-02-16 04:07:46,BTP040 - Elite Junction
FKN00GL11794,6,1,MOTOR CYCLE,2024-03-24 08:07:46,BTP040 - Elite Junction
FKN00GL28078,6,2,FACTORY BUS,2024-02-24 02:26:46,GRID_12.95_77.7
FKN00GL28048,6,1,CAR,2024-04-06 04:40:46,"BTP001 - 10th Cross, Dr. Rajkumar Road"
FKN00GL89229,6,2,CAR,2024-03-22 08:11:46,BTP045 - Danvanthri Road Junction
FKN00GL0908,6,1,SCOOTER,2024-03-16 03:32:46,GRID_12.93_77.69
FKN00GL8979,6,1,MOTOR CYCLE,2024-02-03 11:36:46,GRID_12.96_77.7
FKN00GL8962,6,2,CAR,2024-03-22 03:49:46,BTP040 - Elite Junction
FKN00GL90281,6,1,SCOOTER,2024-03-15 05:25:46,GRID_12.93_77.69
FKN00GL25449,6,1,MOPED,2024-02-11 11:42:46,BTP040 - Elite Junction
FKN00GL25643,6,1,LGV,2024-03-29 10:56:46,BTP078 - NR Square Junction
FKN00GL26985,6,1,MOTOR CYCLE,2024-02-24 04:38:46,BTP020 - Hosahalli Metro Station
FKN00GL27490,6,3,PASSENGER AUTO,2024-02-03 11:42:46,GRID_12.97_77.58
FKN00GL27483,6,2,CAR,2024-03-15 02:56:46,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road"
FKN00GL27380,6,1,MOTOR CYCLE,2024-03-18 10:48:46,BTP040 - Elite Junction
FKN00GL26097,6,1,SCOOTER,2024-04-07 10:58:46,BTP040 - Elite Junction
FKN00GL28429,6,1,CAR,2024-03-26 03:21:46,BTP133 - Adugodi Junction
FKN00GL11765,6,1,PASSENGER AUTO,2024-03-21 00:37:46,BTP082 - KR Market Junction
FKN00GL117528,6,1,MOTOR CYCLE,2024-03-12 04:19:46,GRID_12.93_77.69
FKN00GL2841,6,1,SCOOTER,2024-03-28 13:36:46,GRID_12.93_77.69
FKN00GL28725,6,2,CAR,2024-04-03 08:14:46,GRID_12.99_77.59
FKN00GL2471,6,2,SCOOTER,2024-03-14 05:07:46,GRID_12.93_77.69
FKN00GL2508,6,1,FACTORY BUS,2024-03-16 03:00:46,GRID_12.95_77.7
FKN00GL25001,6,2,MOTOR CYCLE,2024-02-04 07:10:46,BTP068 - Veeresh Theatre Junction
FKN00GL25162,6,1,SCOOTER,2024-04-04 08:59:46,GRID_13.07_77.59
FKN00GL25107,6,1,SCOOTER,2024-02-05 06:17:46,BTP051 - Safina Plaza Junction
FKN00GL2538,6,2,CAR,2024-04-03 07:55:46,GRID_13.01_77.57
FKN00GL25369,6,2,CAR,2024-02-06 03:38:46,GRID_13.06_77.55
FKN00GL25359,6,2,MOTOR CYCLE,2024-04-04 04:39:46,BTP172 - Nanjappa Circle
FKN00GL25469,6,2,MOTOR CYCLE,2024-02-06 05:16:46,GRID_12.94_77.69
FKN00GL25462,6,1,MOTOR CYCLE,2024-03-22 07:57:46,GRID_12.93_77.69
FKN00GL2788,6,1,SCOOTER,2024-03-17 09:10:46,BTP051 - Safina Plaza Junction
FKN00GL2890,6,1,SCOOTER,2024-03-22 09:29:46,GRID_12.93_77.69
FKN00GL2902,6,2,CAR,2024-03-28 05:02:46,"BTP170 - Dr. Bheem Rao Palace, Chord Road"
FKN00GL29014,6,2,MOTOR CYCLE,2024-04-02 05:01:46,GRID_13.04_77.59
FKN00GL11709,6,2,MOTOR CYCLE,2024-02-20 08:58:46,BTP032 - Windsor Circle
FKN00GL29097,6,1,PASSENGER AUTO,2024-04-08 01:55:46,GRID_13.01_77.7
FKN00GL2948,6,2,LORRY/GOODS VEHICLE,2024-03-19 03:33:46,GRID_12.88_77.64
FKN00GL2947,6,5,PRIVATE BUS,2024-03-19 03:32:46,GRID_12.87_77.64
FKN00GL24291,6,1,MOTOR CYCLE,2024-02-07 10:08:46,BTP044 - Sagar Theatre Junction
FKN00GL24272,6,1,PASSENGER AUTO,2024-03-28 10:44:46,BTP051 - Safina Plaza Junction
FKN00GL2448,6,1,MOTOR CYCLE,2024-03-16 02:59:46,GRID_12.93_77.69
FKN00GL2455,6,1,MOTOR CYCLE,2024-03-27 02:25:46,GRID_12.93_77.69
FKN00GL24862,6,1,MOTOR CYCLE,2024-03-20 14:29:46,BTP108 - Tagore Park Junction
FKN00GL24758,6,3,CAR,2024-04-06 11:17:46,BTP058 - Subbanna Junction
FKN00GL28200,6,1,PASSENGER AUTO,2024-03-31 01:04:46,BTP082 - KR Market Junction
FKN00GL28476,6,3,MAXI-CAB,2024-02-23 03:36:46,"BTP204 - ESI Hospital, Rajajinagar"
FKN00GL28446,6,1,CAR,2024-03-31 01:47:46,BTP057 - Anand Rao Junction
FKN00GL30564,6,2,PASSENGER AUTO,2024-03-26 01:54:46,GRID_13.01_77.69
FKN00GL30787,6,1,SCOOTER,2024-02-11 03:15:46,GRID_13.05_77.59
FKN00GL30723,6,1,SCOOTER,2024-02-10 08:05:46,GRID_13.0_77.56
FKN00GL11643,6,1,MOTOR CYCLE,2024-02-16 06:11:46,GRID_12.93_77.69
FKN00GL3066,6,2,PASSENGER AUTO,2024-03-29 04:23:46,BTP051 - Safina Plaza Junction
FKN00GL23793,6,2,PASSENGER AUTO,2024-03-17 10:54:46,BTP051 - Safina Plaza Junction
FKN00GL24017,6,1,MOTOR CYCLE,2024-02-07 09:08:46,BTP119 - Minerva Circle
FKN00GL23975,6,1,CAR,2024-03-05 05:48:46,BTP061 - Bhashyam Circle
FKN00GL24088,6,1,SCOOTER,2024-03-30 11:39:46,BTP130 - GD Mara Junction
FKN00GL2403,6,2,GOODS AUTO,2024-03-19 02:58:46,BTP085 - Briyand Circle
FKN00GL24138,6,1,SCOOTER,2024-03-30 10:34:46,BTP051 - Safina Plaza Junction
FKN00GL30061,6,1,CAR,2024-03-18 06:30:46,BTP044 - Sagar Theatre Junction
FKN00GL30431,6,1,CAR,2024-02-10 05:20:46,BTP027 - Modi Bridge Junction
FKN00GL86217,6,2,LGV,2024-03-30 23:28:46,GRID_13.01_77.69
FKN00GL8665,6,2,LGV,2024-04-04 03:24:46,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road"
FKN00GL2853,6,1,MOTOR CYCLE,2024-03-13 04:42:46,BTP020 - Hosahalli Metro Station
FKN00GL31951,6,2,CAR,2024-02-27 10:55:46,BTP027 - Modi Bridge Junction
FKN00GL102449,6,1,CAR,2024-01-20 12:11:46,BTP051 - Safina Plaza Junction
FKN00GL76627,6,1,SCOOTER,2024-03-05 05:19:46,BTP032 - Windsor Circle
FKN00GL76835,6,1,MOPED,2024-03-26 05:00:46,BTP051 - Safina Plaza Junction
FKN00GL76790,6,2,PASSENGER AUTO,2024-03-05 06:30:46,GRID_13.01_77.7
FKN00GL7739,6,4,CAR,2024-04-05 04:55:46,BTP008 - Navarang Theatre
FKN00GL77122,6,3,PASSENGER AUTO,2024-03-22 04:45:46,BTP040 - Elite Junction
FKN00GL30947,6,1,MOTOR CYCLE,2024-03-13 05:15:46,GRID_12.93_77.69
FKN00GL102694,6,1,MOTOR CYCLE,2023-12-20 07:48:46,GRID_13.04_77.59
FKN00GL7354,6,2,SCOOTER,2024-03-05 05:40:46,GRID_12.93_77.69
FKN00GL74054,6,1,SCOOTER,2024-03-03 09:30:46,BTP020 - Hosahalli Metro Station
FKN00GL75367,6,2,SCOOTER,2024-03-11 01:17:46,BTP044 - Sagar Theatre Junction
FKN00GL102098,6,2,LGV,2023-12-21 03:46:46,GRID_13.02_77.53
FKN00GL8757,6,1,MOTOR CYCLE,2024-02-04 07:38:46,GRID_13.04_77.59
FKN00GL8756,6,1,PASSENGER AUTO,2024-03-29 08:46:46,BTP057 - Anand Rao Junction
FKN00GL8857,6,1,SCOOTER,2024-04-05 07:20:46,BTP027 - Modi Bridge Junction
FKN00GL3232,6,2,CAR,2024-03-28 13:12:46,BTP063 - Siddalingaiah Circle
FKN00GL32678,6,1,SCOOTER,2024-03-17 09:05:46,BTP051 - Safina Plaza Junction
FKN00GL3257,6,1,MOPED,2024-03-28 09:16:46,GRID_12.93_77.69
FKN00GL121164,6,2,CAR,2024-01-06 01:15:46,BTP044 - Sagar Theatre Junction
FKN00GL12164,6,3,SCOOTER,2024-03-27 09:21:46,GRID_12.97_77.58
FKN00GL12163,6,1,SCOOTER,2024-04-06 03:46:46,BTP027 - Modi Bridge Junction
FKN00GL121558,6,1,CAR,2024-01-31 03:26:46,GRID_13.02_77.53
FKN00GL2338,6,1,SCOOTER,2024-03-31 07:13:46,"BTP001 - 10th Cross, Dr. Rajkumar Road"
FKN00GL23595,6,1,SCOOTER,2024-03-27 02:25:46,GRID_12.93_77.69
FKN00GL102076,6,2,TEMPO,2023-12-12 11:27:46,"BTP123 - 10th Cross, Wilson Garden"
FKN00GL31242,6,1,SCOOTER,2024-04-03 10:16:46,BTP023 - Mahalaxmi Layout Entrance
FKN00GL3119,6,1,SCOOTER,2024-02-08 10:58:46,BTP020 - Hosahalli Metro Station
FKN00GL31179,6,2,SCOOTER,2023-12-19 08:41:46,BTP032 - Windsor Circle
FKN00GL31471,6,2,SCOOTER,2024-02-03 11:42:46,GRID_12.93_77.69
FKN00GL31338,6,1,CAR,2024-03-17 10:27:46,"BTP170 - Dr. Bheem Rao Palace, Chord Road"
FKN00GL31248,6,2,GOODS AUTO,2024-04-06 04:23:46,BTP018 - Dhobi Ghat Junction
FKN00GL33806,6,1,SCOOTER,2024-03-31 02:43:46,GRID_12.96_77.55
FKN00GL22214,6,1,SCOOTER,2024-03-29 03:12:46,BTP020 - Hosahalli Metro Station
FKN00GL22454,6,1,SCOOTER,2024-02-29 04:07:46,GRID_12.97_77.66
FKN00GL22344,6,1,MOTOR CYCLE,2024-04-01 09:17:46,BTP061 - Bhashyam Circle
FKN00GL22723,6,2,LGV,2024-03-13 01:40:46,BTP208 - Havanur Circle
FKN00GL3281,6,1,SCOOTER,2024-03-28 13:20:46,GRID_12.93_77.69
FKN00GL3271,6,1,SCOOTER,2024-04-03 03:11:46,BTP020 - Hosahalli Metro Station
FKN00GL3288,6,1,MOTOR CYCLE,2024-03-03 11:24:46,BTP020 - Hosahalli Metro Station
FKN00GL33208,6,1,SCOOTER,2024-02-29 08:38:46,BTP051 - Safina Plaza Junction
FKN00GL33161,6,1,CAR,2024-02-11 12:35:46,BTP051 - Safina Plaza Junction
FKN00GL3311,6,1,MOTOR CYCLE,2024-03-14 10:55:46,BTP023 - Mahalaxmi Layout Entrance
FKN00GL33107,6,1,SCOOTER,2024-04-03 09:14:46,BTP040 - Elite Junction
FKN00GL3347,6,1,CAR,2024-03-21 02:26:46,"BTP001 - 10th Cross, Dr. Rajkumar Road"
FKN00GL3214,6,1,SCOOTER,2024-03-12 09:08:46,BTP020 - Hosahalli Metro Station
FKN00GL32392,6,2,MAXI-CAB,2024-02-27 02:46:46,GRID_12.97_77.62
FKN00GL32324,6,2,PASSENGER AUTO,2024-03-30 06:22:46,BTP043 - Upparpet Junction
FKN00GL35780,6,1,SCOOTER,2024-04-07 08:27:46,BTP044 - Sagar Theatre Junction
FKN00GL114033,6,1,CAR,2023-12-30 06:57:46,BTP045 - Danvanthri Road Junction
FKN00GL36069,6,3,CAR,2024-02-13 11:59:46,BTP045 - Danvanthri Road Junction
FKN00GL35925,6,1,SCOOTER,2024-04-01 10:06:46,GRID_12.98_77.61
FKN00GL36157,6,1,SCOOTER,2024-03-13 04:52:46,BTP020 - Hosahalli Metro Station
FKN00GL21357,6,1,MOTOR CYCLE,2024-02-03 04:58:46,GRID_12.97_77.61
FKN00GL21616,6,1,SCOOTER,2024-04-04 02:32:46,GRID_13.0_77.56
FKN00GL21588,6,1,CAR,2024-03-02 08:18:46,GRID_13.0_77.56
FKN00GL21713,6,1,SCOOTER,2024-03-04 11:00:46,BTP051 - Safina Plaza Junction
FKN00GL3458,6,1,LGV,2024-04-01 11:12:46,BTP211 - Central Street Junction
FKN00GL3454,6,1,MOTOR CYCLE,2024-03-28 09:11:46,GRID_12.93_77.69
FKN00GL35105,6,1,CAR,2024-02-14 07:38:46,GRID_13.01_77.55
FKN00GL35218,6,1,CAR,2024-03-13 02:23:46,"BTP001 - 10th Cross, Dr. Rajkumar Road"
FKN00GL35386,6,1,MOTOR CYCLE,2024-02-28 12:04:46,GRID_12.93_77.69
FKN00GL35618,6,1,MOTOR CYCLE,2024-03-21 11:34:46,GRID_12.93_77.69
FKN00GL3361,6,1,SCOOTER,2024-03-28 13:25:46,GRID_12.93_77.69
FKN00GL36925,6,2,SCOOTER,2024-02-23 11:45:46,"BTP080 - NR Road, SP Road Junction"
FKN00GL37204,6,1,MOTOR CYCLE,2024-04-02 04:48:46,BTP068 - Veeresh Theatre Junction
FKN00GL0757,6,1,MOTOR CYCLE,2024-03-15 06:01:46,GRID_12.93_77.69
FKN00GL9209,6,3,PASSENGER AUTO,2024-02-29 00:04:46,GRID_13.01_77.7
FKN00GL92784,6,2,SCOOTER,2024-03-23 10:58:46,GRID_12.99_77.66
FKN00GL122780,6,1,SCOOTER,2024-01-19 09:57:46,BTP032 - Windsor Circle
FKN00GL122726,6,2,GOODS AUTO,2023-12-10 03:08:46,BTP044 - Sagar Theatre Junction
FKN00GL36506,6,1,SCOOTER,2024-03-05 05:11:46,BTP032 - Windsor Circle
FKN00GL36475,6,1,SCOOTER,2024-03-06 04:50:46,BTP032 - Windsor Circle
FKN00GL36462,6,1,PASSENGER AUTO,2024-04-02 03:30:46,"BTP083 - AS Char Street, Mysore Road"
FKN00GL113025,6,1,MOPED,2024-01-08 12:53:46,BTP051 - Safina Plaza Junction
FKN00GL112991,6,3,PASSENGER AUTO,2024-03-31 11:47:46,GRID_13.0_77.68
FKN00GL36540,6,2,CAR,2024-02-15 13:12:46,GRID_12.97_77.65
FKN00GL36808,6,1,MOPED,2024-02-29 04:32:46,BTP027 - Modi Bridge Junction
FKN00GL36752,6,2,CAR,2024-03-12 08:54:46,GRID_13.03_77.59
FKN00GL36748,6,1,SCOOTER,2024-03-13 13:01:46,BTP027 - Modi Bridge Junction
FKN00GL4059,6,1,MOTOR CYCLE,2024-03-28 09:09:46,GRID_12.93_77.69
FKN00GL20807,6,1,MOPED,2024-04-03 08:26:46,BTP040 - Elite Junction
FKN00GL20905,6,1,SCOOTER,2024-03-02 03:21:46,GRID_12.93_77.69
FKN00GL21114,6,2,PASSENGER AUTO,2024-03-26 14:21:46,GRID_12.98_77.61
FKN00GL9152,6,3,CAR,2024-02-24 11:18:46,BTP205 - Modi Hospital Junction
FKN00GL91870,6,1,SCOOTER,2024-03-17 09:05:46,BTP051 - Safina Plaza Junction
FKN00GL0608,6,1,SCOOTER,2024-02-23 07:17:46,GRID_12.93_77.69
FKN00GL39286,6,1,PASSENGER AUTO,2024-04-02 08:59:46,BTP040 - Elite Junction
FKN00GL112073,6,1,SCOOTER,2024-01-09 04:40:46,BTP027 - Modi Bridge Junction
FKN00GL39777,6,1,SCOOTER,2024-03-28 09:56:46,GRID_12.93_77.69
FKN00GL3757,6,2,SCOOTER,2024-03-28 08:47:46,BTP074 - Leprosy Hospital Junction
FKN00GL3755,6,3,PASSENGER AUTO,2024-03-28 07:10:46,BTP040 - Elite Junction
FKN00GL112671,6,1,SCOOTER,2023-12-30 09:37:46,BTP051 - Safina Plaza Junction
FKN00GL1126,6,2,SCOOTER,2024-03-15 06:06:46,BTP042 - Minsk Square Junction (CTO)
FKN00GL113147,6,2,SCOOTER,2024-01-14 11:39:46,BTP051 - Safina Plaza Junction
FKN00GL36693,6,3,MAXI-CAB,2024-03-07 02:22:46,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road"
FKN00GL40466,6,1,SCOOTER,2024-03-06 10:45:46,GRID_12.93_77.69
FKN00GL40666,6,1,SCOOTER,2024-03-18 08:09:46,BTP051 - Safina Plaza Junction
FKN00GL4065,6,2,CAR,2024-03-30 02:14:46,GRID_12.89_77.64
FKN00GL40599,6,2,SCOOTER,2024-04-06 11:37:46,BTP027 - Modi Bridge Junction
FKN00GL20654,6,2,CAR,2024-03-30 01:17:46,BTP044 - Sagar Theatre Junction
FKN00GL20610,6,2,CAR,2024-04-08 02:10:46,GRID_12.89_77.64
FKN00GL123484,6,1,CAR,2023-12-14 05:47:46,GRID_12.99_77.6
FKN00GL123460,6,1,MOTOR CYCLE,2024-01-14 11:22:46,BTP051 - Safina Plaza Junction
FKN00GL20697,6,1,SCOOTER,2024-02-24 05:45:46,GRID_12.93_77.69
FKN00GL20773,6,2,CAR,2024-02-14 05:37:46,GRID_13.0_77.67
FKN00GL20852,6,1,SCOOTER,2024-03-15 05:46:46,GRID_12.93_77.69
FKN00GL20849,6,1,MOTOR CYCLE,2024-02-23 05:53:46,GRID_12.93_77.69
FKN00GL39744,6,3,CAR,2024-03-15 03:47:46,BTP040 - Elite Junction
FKN00GL39865,6,1,SCOOTER,2024-04-03 07:07:46,BTP051 - Safina Plaza Junction
FKN00GL40458,6,2,SCOOTER,2024-03-21 10:37:46,GRID_12.93_77.69
FKN00GL40271,6,1,SCOOTER,2024-03-02 04:30:46,GRID_13.0_77.67
FKN00GL41147,6,2,CAR,2024-04-03 08:30:46,BTP061 - Bhashyam Circle
FKN00GL4138,6,2,MOTOR CYCLE,2024-02-25 09:18:46,GRID_12.97_77.61
FKN00GL41676,6,2,CAR,2024-03-19 03:28:46,GRID_12.88_77.65
FKN00GL110837,6,1,SCOOTER,2024-01-21 09:29:46,BTP020 - Hosahalli Metro Station
FKN00GL41775,6,2,PASSENGER AUTO,2024-04-02 08:29:46,BTP057 - Anand Rao Junction
FKN00GL41947,6,1,SCOOTER,2024-04-06 08:44:46,GRID_13.05_77.58
FKN00GL19613,6,1,PASSENGER AUTO,2024-03-31 04:40:46,BTP211 - Central Street Junction
FKN00GL1946,6,2,SCOOTER,2024-03-15 11:14:46,BTP051 - Safina Plaza Junction
FKN00GL12333,6,2,CAR,2024-03-13 02:31:46,BTP091 - Sirsi Circle
FKN00GL20060,6,1,CAR,2024-03-30 02:30:46,GRID_12.93_77.63
FKN00GL19999,6,1,CAR,2024-03-12 11:42:46,GRID_12.93_77.63
FKN00GL20313,6,2,SCOOTER,2024-04-04 04:37:46,BTP172 - Nanjappa Circle
FKN00GL20517,6,3,LORRY/GOODS VEHICLE,2024-04-04 03:59:46,"BTP024 - NPS, Vijayanagar"
FKN00GL111139,6,1,SCOOTER,2024-01-04 11:53:46,GRID_12.98_77.61
FKN00GL111130,6,1,SCOOTER,2024-01-07 09:59:46,"BTP145 - Sri Hatti Maramma Circle, Domluru"
FKN00GL111633,6,1,CAR,2023-12-16 11:00:46,"BTP026 - 1st Block Junction, Rajajinagar"
FKN00GL43677,6,1,SCOOTER,2024-04-03 02:54:46,BTP020 - Hosahalli Metro Station
FKN00GL4427,6,1,SCOOTER,2024-03-27 06:48:46,GRID_12.93_77.69
FKN00GL10005,6,1,SCOOTER,2024-02-23 07:57:46,GRID_12.93_77.69
FKN00GL19081,6,1,SCOOTER,2024-02-14 10:03:46,GRID_12.93_77.69
FKN00GL19224,6,1,CAR,2024-01-10 02:32:46,BTP058 - Subbanna Junction
FKN00GL1930,6,2,CAR,2024-03-15 11:13:46,GRID_13.01_77.57
FKN00GL123581,6,1,MOTOR CYCLE,2024-01-13 13:14:46,GRID_13.04_77.59
